ID,Win,NickName,Champion,item
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 충전형 물약 콜필드의 전투 망치 약간 신비한 신발 도란의 방패 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 방패 충전형 물약 삼위일체 롱소드 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,삼위일체 충전형 물약 도란의 방패 흡혈의 낫 장화 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 장화 강철 인장 도란의 검
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 천 갑옷 삼위일체 도란의 방패 약간 신비한 신발
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,티아맷 충전형 물약 흡혈의 낫 도란의 검 장화 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 검 충전형 물약 삼위일체 흡혈의 낫 0 장화
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 수호 천사 약간 신비한 신발 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 0 헤르메스의 발걸음 0 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 스테락의 도전 수호 천사 헤르메스의 발걸음 땅굴 채굴기
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,도란의 방패 충전형 물약 삼위일체 장화 흡혈의 낫 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 롱소드 죽음의 무도 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 도란의 방패 삼위일체 약간 신비한 신발 콜필드의 전투 망치 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,천상의 이의 갈라진 하늘 제어 와드 톱날 단검 콜필드의 전투 망치 하나 된 영혼
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 방패 체력 물약 0 0 0 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 죽음의 무도 헤르메스의 발걸음 선체파괴자
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 판금 장화 도란의 검 곡괭이
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,천상의 이의 갈라진 하늘 제어 와드 0 하나 된 영혼 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 땅굴 채굴기 도란의 검 헤르메스의 발걸음 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 0 헤르메스의 발걸음 땅굴 채굴기 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 충전형 물약 흡혈의 낫 장화 삼위일체 도란의 방패
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 땅굴 채굴기 곡괭이 삼위일체 판금 장화 도란의 방패
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,도란의 방패 충전형 물약 흡혈의 낫 삼위일체 롱소드 약간 신비한 신발
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 헤르메스의 발걸음 강철 인장 도란의 검 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,삼위일체 충전형 물약 흡혈의 낫 도란의 방패 약간 신비한 신발 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 롱소드 장화 도란의 검 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,천상의 이의 갈라진 하늘 제어 와드 그림자 검 하나 된 영혼 0
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 콜필드의 전투 망치 장화 강철 인장 도란의 검
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 도란의 방패 헤르메스의 발걸음 롱소드
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 충전형 물약 삼위일체 장화 도란의 방패 흡혈의 낫
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Sion,도란의 방패 충전형 물약 0 망령의 두건 바미의 불씨 헤르메스의 발걸음
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 충전형 물약 곡괭이 도란의 검 장화 삼위일체
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,티아맷 충전형 물약 흡혈의 낫 장화 삼위일체 도란의 검
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,True,xiao wan xin,Camille,굶주린 히드라 삼위일체 롱소드 도란의 방패 장화 B.F. 대검
2VqcwLO_kRvKoZbx3utq6n-Q1qbqgHWIO-XEUEJs2lJYoTA,False,xiao wan xin,Camille,굶주린 히드라 삼위일체 제어 와드 강철 인장 헤르메스의 발걸음 스테락의 도전
