ID,WinRate_Sorted_Champions,PickRate_Sorted_Champions
-eXz7wT6JAbQi14GHd6ZQ04NtuiLvFNNCEhoZy4yh56f8Mg,"['Karma', 'Thresh', 'Nautilus']","['Thresh', 'Hwei', 'Morgana', 'Nautilus', 'Karma']"
-eqwrN4B_birWfsIMW1IPKPj8xaB1otr73EGr7vk81tIslvr,"['Ashe', 'Zeri']","['Ezreal', 'Jhin', 'Zeri', 'Ashe']"
-fS0ZD5T0x59YpVieeTIFWDWTi36b8e3OMbX5lTnfdnAZe2qkeulEiVq2Q,"['Azir', 'Hwei']",['Azir']
-g2ruBqcnHPTgdCkr6X1YxWfEDaHR4EdV8PNYaYZK8x9_fvzEgBsfVR0og,"['Zeri', 'Aurora', 'Lucian', 'Corki']","['Lucian', 'Yone', 'Zeri', 'Corki']"
-g6_uR7T6u50fJSfvhqsxIKorHq7kT3IPgoYb0mMXQ4KzYqmvQhaSAF_qw,['Olaf'],['Olaf']
-iEI19BDpdJamAPZLkSuVgZKlKU53SZnSwJY2A35Knd2cg,"['Ahri', 'Katarina']",['Katarina']
-ifju-JVuy-v94lq0NC79BJ2kfj6SufsLfvV9QZfYbETryg,"['Camille', 'Fiora', 'Gnar', 'Jayce', 'Kennen', 'Mordekaiser', 'Renekton']","['Gnar', 'Renekton', 'Fiora', 'Camille', 'Kennen']"
-jBcj00Iqb__N5C80nXD8UetCb7M8TZq8Qu8IlcZAfbrAFY,"['Ezreal', 'Caitlyn', 'Jhin', 'Jinx', 'Zeri']","['Jinx', 'Jhin', 'Aphelios']"
-k4Jo1uLOpsH0Zv0f4O7tpelPWM7JwXVoN6wtFuMKvKASw,"['Thresh', 'Bard', 'Amumu', 'Pyke']","['Bard', 'Amumu', 'Pyke']"
-kfUprpQfIMh3YEtEV3Qj_lOipqiOBzVVP8aGFQ78RvdK8g,"['Seraphine', 'Syndra', 'Lucian', 'Cassiopeia', 'Orianna', 'Tristana', 'Hwei']","['Hwei', 'Ahri', 'Tristana', 'Syndra']"
-lUj9YAnCxp8ZvrNX3nqPPi7baPiLy5ZD4MjTcRbwos6P8E,"['Orianna', 'Rakan', 'Ahri']","['Ahri', 'Orianna', 'Syndra']"
-nTL4J6Twdtd0O1wx0_VZcPylQ_bXgklM_-slg-VQJ6VB2s,"['Thresh', 'Xerath', 'Leona']","['Leona', 'Xerath']"
-nWhHBhqfRrsf-wvdXvKVmI2VREgxFKLTewfYco4AORRznrvQAs2yfxQRA,"['Pyke', 'Rell', 'Maokai']","['Pyke', 'Maokai']"
-nygRBSNOXTQxgt32-zfjDULCDX-xQBK_C5Am_d4h-ypRhU,"['Karma', 'Draven']","['Draven', 'Karma']"
-o_FWVuby_Z5P0L9efsZG8LBYyCpb7CDpTl86HU6glU2o8c,['Zoe'],['Zoe']
-oqAOs18NTdYUVP6C3yz4_uaTnc0cFIvHs-FDuWhv1Ou8UAFnUUqUz-PJg,"['Galio', 'Taric']","['Galio', 'Taric']"
-otAVqFiOFmK84sTnf-IGCcYjTkXii3ErcPCWOFTxx9FnLRxs2RwKwzGcw,['Olaf'],['Olaf']
-qac-DcESCxV8YuE3sOtNHaJKVokfu3fx5TvlPnZoD64MA,"['Aatrox', 'Jax']","['Aatrox', 'Jax', 'Fiora']"
-qiPYmg37CVQvjFwEgqFykNXDxXan__LXzyBbAeD37o9ZjFv2F-_o2h3cA,"['Renekton', 'Akali', 'Sylas']","['Sylas', 'Yone', 'Akali']"
-qqlihzqmbdkLTm9Ti1ks0F0-kqQatR-IwTF-5xfQyow5e8,"['Varus', 'Ashe', 'Jhin']",['Ashe']
-rc7CqxxFX46FjUXty94KPiIuUVoD8Qt339xmbCAar4PB0zNSkEH14D-4g,['Darius'],['Darius']
-rzCpU5QiHsLGu-aJbSY_MHvIAjvm8n7EXGCUDbOUxldPoM,"['Nidalee', 'Skarner']","['Skarner', 'Viego']"
-sSZuHPc9-F7r752_QcmQdv6SnB9PgmnY444aEMbmAWjHg,['Vi'],['Amumu']
-tibjSN4akQrK2SYvF-IhV0jqlVL-lVK5XTju867-VLhUAE,"['Ezreal', 'Ashe', 'Jinx']","['Ezreal', 'Jhin', 'Riven']"
-ufovhA66w4kHZgXoxDT2-utnq2vzmTTxrtrZv2zRVyQsZiC57tR588VZA,"['Leona', 'Rell', 'Blitzcrank', 'Thresh']","['Rell', 'Thresh', 'Nautilus']"
-v7pXzDf8PpcsWTKnkLrp_MSiK4xvmltj1vXmc1xYPF1cvVRwBYWaN7whQ,"['Pyke', 'Thresh', 'Karma', 'Blitzcrank']","['Pyke', 'Nautilus', 'Thresh', 'Karma', 'Blitzcrank']"
-vPupIKmJXqND22T79EqPBso14Fd7BIEm9J-tGJx1bJoXQ,['Zac'],"['Zac', 'Jax']"
-ve0qDhTgv13b8C5WoCT_kOr4_CLXRxuXw1ewlJybAjGWT0,"['Talon', 'Galio']","['Galio', 'Talon']"
-wsPqrip_wAeikDbhK_8Ly5KtGchQEPnm4eZILEPJbY0dAA-JBsdAp6i5Q,"['Gragas', 'Tryndamere', 'Hwei', 'Akali', 'Galio']","['Tryndamere', 'Akali', 'Galio']"
-y5833Fz9DTQlqeE0yClOyWPpT64e_6NZeWOqIzN2r-FUOQ,"['Blitzcrank', 'Bard', 'Alistar', 'Rell']","['Blitzcrank', 'Bard', 'Poppy', 'Pyke', 'Rell', 'Alistar']"
-yC0iyn4xJ8VzFFGv8rgQqhvI15rlYn63q3KD9l-_thxeQw,"['Rell', 'Senna', 'Poppy', 'Leona', 'Pyke', 'Bard', 'Ezreal']","['Ezreal', 'Pyke']"
-yoUe52D1Ff6NLLigpF8MWY2bvR3JQMGdG7fCHcQyIKQsDFr2cTe3ELGyg,"['Hwei', 'Pantheon']","['Pantheon', 'Hwei']"
-yu_4lKdAVwCJZhRlzlzXe8PkCBO9XJbJYvpQhvJ66SpERE,"['Hwei', 'Orianna']","['Zed', 'Lux']"
-zkJhRoUXDU8cey1Y4msNvudVSnW4fkmKCf2kKf1jXm1Vaw,"['Ezreal', 'Jhin', 'Caitlyn', 'Yone']","['Ezreal', 'Yone', 'Jhin']"
00kpNrR3uBfWCLRkIxHZYsghq-_T6yOuWEu1L96dwknfBE8,"['Jhin', 'Ashe']",['Jhin']
01lvJoyMhN3D61cSDiDodUBbSX0e7RNW6FEZkh3l8QmJ15I,"['Lulu', 'Seraphine']",['Zilean']
01t4Q-xyhx2rVC8WLIjyy1OF9mtSIVj7U7kED63RSekD-0U,"['Nilah', 'Lucian']","['Nilah', 'Lucian']"
02YCmPFeAr79-od5IRYz675-51KKQkG51C0Gbq388OsaU2c,"['Aurora', 'Akali', 'Sylas', 'Yone', 'Smolder']","['Sylas', 'Aurora', 'Yone', 'Akali', 'Smolder']"
03Dh9RBzRqVSe05NtbLkrRRofu0TdZuZhZTR_0NEmSl-m1c,['Galio'],"['Galio', 'Azir']"
04INFwjdWWbJ_v2eDjo4dUupu07x1lar8TsTdtNLiActRW8,['Fiora'],"['Fiora', 'Renekton']"
04ieHVrswUgL9pL9xaDI9UoCYp4ffKAjyDlkgnRnbVK7y20,"['Pyke', 'Varus', 'Ashe', 'Jhin']","['Jhin', 'Ashe']"
05e7sEJ6Pj15Gv8UqAgn4H2y__pANCaNLiJos8ZpeQSH5RmcU64OOEdW4w,"['Seraphine', 'Gwen', 'Lulu']","['Camille', 'Rell', 'Lulu', 'Seraphine']"
06S5pAt5teBHyYqoYLyHyvLzmG5Wkcp1rYuL4zGeRQQfXKI,"['Ezreal', 'Yasuo']","['Ezreal', 'Jhin']"
08Da4aP8LMqgRY5qF5l-1lN5VIJU03dYoNyhmFCqcsOmUBNA,"['Lucian', 'Jhin', 'Zeri', 'Ezreal']","['Lillia', 'Jhin', 'Ezreal']"
08aLSTThTYhoPHqrMQzbboG4idRv3pS_CnLcnzEL70VUd1k,"['Azir', 'Gragas', 'Xerath', 'Blitzcrank', 'Ryze']","['Azir', 'Ryze']"
08raoZ6NEt7f06yK33nWRloLSXw30C6z3V8kZ-dDvOP3iTA,"['Fiora', 'Jayce', 'Ryze']","['Fiora', 'Jayce', 'Gnar']"
09D-Lb7U0SCdvfXahUPN2Br5o1MxkRrx8qQKjMa301XeRQN3,"['Janna', 'Annie', 'Senna']","['Rakan', 'Senna', 'Janna']"
09_zY1IEQ6ZdPMUW5MIvWOxrjY_SZvBysISoChci7Z6Mu79m,"['Samira', 'Pyke', 'Ezreal']","['Ezreal', 'Samira', 'Xayah']"
0AFyxyH9oknrsS8TxZggZlSDReeKNsNMVtzSNF41BM3CUytqP-n1XhTK7A,"['Pyke', 'Senna', 'Rell', 'Leona']","['Rell', 'Leona', 'Pyke', 'Senna']"
0AsRm3Sqfrme8NOF5JxQTrQTWVEZ3czYXkkAOBVVmXVSUPDbwuWDwrxloQ,"['Jax', 'Tryndamere']","['Tryndamere', 'Jax']"
0CyMSLg8wQ7eFBTO-6P_DdVhYpCqo7AkWf0vIzWinlY6Tjs,"['Samira', 'Caitlyn', 'Jhin', 'Zeri']","['Ezreal', 'Jhin', 'Ashe']"
0D4NCK716BuXIsbdtsf2gYgcX6SZsDVdDBJB9iVat5FjvkyGsjtoO-ln9A,"['Aphelios', 'Varus']",['Aphelios']
0DUhpqIRmmD74hDk54r_RsvYLs3nyrql_km5znxqZidPS6GiJPi9e0rWvg,"['Ezreal', 'Vex']","['Vex', 'Diana']"
0E-aByus_-uTg79S4Gb4zx9XMPwyiJWmMGcTZGP6pgsDGg,['Warwick'],['Warwick']
0Ec30VD7yCsbFZv8e07kzja3ezoU8EYxvkDQOatipnBleywUDPxsoRRIaQ,"['Hwei', 'Sylas', 'Yone']","['Sylas', 'Hwei', 'Yone', 'Ahri']"
0ExmlBdT22EqDOFCPQc7VrHxoB5a8-sCwH_4wRp3P8ln-k4,"['Poppy', 'Xerath', 'Ezreal', 'Braum', 'Thresh']","['Thresh', 'Jhin']"
0FlkJWYJz0MlHu_1IumJ3jV2oIncNlA5xQLYbVo3eWPN5w,"['Akali', 'Sylas']","['Sylas', 'Akali', 'Yone']"
0FtaIjFqEmxyLYMQn8TCcWYy0oBcEwGtMUCOD86mFXehCNzHQ6vOp-MxzQ,"['Hwei', 'Yone', 'Zed']","['Yone', 'Hwei']"
